NO,DIST,(mm)
,SUBDIVISION : A & N ISLAND,3.1
1,NICOBAR,6
2,NORTH & MIDDLE ANDAMAN,0
3,SOUTH ANDAMAN,4.6
1,ANJAW,233.4
2,CHANGLANG,265.9
3,DIBANG VALLEY,
4,EAST KAMENG,122.4
5,EAST SIANG,141.2
6,KURUNG KUMEY,
7,LOHIT,142.5
8,LOWER DIBANG VALLEY,165.9
9,LOWER SUBANSIRI,86.4
10,PAPUM-PARE,172.6
11,TAWANG,128.1
12,TIRAP,84.7
13,UPPER SIANG,215.3
14,UPPER SUBANSIRI,207.9
15,WEST KAMENG,96.1
16,WEST SIANG,164
,SUBDIVISION : ASSAM &,77.3
,MEGHALAYA,
,STATE : ASSAM,79.6
1,BAKSA,148.7
2,BARPETA,85.3
3,BONGAIGAON,59.5
4,CACHAR,144.7
5,CHIRANG,88.6
6,DARRANG,49.5
7,DHEMAJI,175.7
8,DHUBRI,63.1
9,DIBRUGARH,99.9
10,GOALPARA,84.6
11,GOLAGHAT,69.3
12,HAILAKANDI,138.5
13,JORHAT,85.2
14,KAMRUP METRO,65.2
15,KAMRUP RURAL,41.3
16,KARBI ANALOG,24.2
17,KARIMGANJ,210.2
18,KOKRAJHAR,68.1
19,LAKHIMPUR,105.9
20,MORIGAON,53.8
,,
,,
,India Meteorological Department,
,"Hydromet Division, New Delhi",
,,
,,Period:01-03-2024 To 05-04-2024
,MET.,
S,ACTUAL,ACTUAL
,SUBDIVISION/UT/STATE/DIS,
NO,,(mm)
,TRICT,
21,N.C HILLS,64
22,NAGAON,32.7
23,NALBARI,82.7
24,SIBSAGAR,126.2
25,SONITPUR,37.9
26,TINSUKIA,123.3
27,UDALGURI,75.8
,STATE : MEGHALAYA,69.7
1,EAST GARO HILLS,232.8
2,EAST JAINTIA HILLS,21.1
3,EAST KHASI HILLS,196.2
4,NORTH GARO HILLS,37.4
5,RI BHOI,34.9
6,SOUTH GARO HILLS,30.2
7,SOUTH WEST GARO HILLS,49
8,SOUTH WEST KHASI HILLS,105.8
9,WEST GARO HILLS,61.1
10,WEST JAINTIA HILLS,23.8
11,WEST KHASI HILLS,28.7
,SUBDIVISION : N M M T,58.9
,STATE : NAGALAND,82.5
1,DIMAPUR,30.1
2,KIPHIRE,41.5
3,KOHIMA,47.1
4,LONGLENG,63.9
5,MOKOKCHUNG,90
6,MON,123.3
7,PEREN,120.7
8,PHEK,32.8
9,TUENSANG,160.5
10,WOKHA,58.5
11,ZUNHEBOTO,30.7
,STATE : MANIPUR,54.9
1,BISHNUPUR,30.2
2,CHANDEL,18.4
3,CHURACHANDPUR,64.1
4,IMPHAL EAST,85.1
5,IMPHAL WEST,110.9
6,SENAPATI,67
7,TAMENGLONG,179.5
8,THOUBAL,30.9
9,UKHRUL,58
,STATE : MIZORAM,31.6
,,
,,
,India Meteorological Department,
,"Hydromet Division, New Delhi",
,,
,,Period:01-03-2024 To 05-04-2024
,MET.,
S,ACTUAL,ACTUAL
,SUBDIVISION/UT/STATE/DIS,
NO,(mm),(mm)
,TRICT,
1,AIZAWL,71
2,CHAMPHAI,3.7
3,KOLASIB,117.1
4,LAWNGTLAI,33.4
5,LUNGLEI,18.3
6,MAMIT,3.1
7,SAIHA,15.3
8,SERCHHIP,27.3
,STATE : TRIPURA,80.4
1,DHALAI,49.6
2,GOMATI,75
3,KHOWAI,54.7
4,NORTH TRIPURA,100.7
5,SIPAHIJALA,95.1
6,SOUTH TRIPURA,108.1
7,UNAKOTI,118.2
8,WEST TRIPURA,79
,SUBDIVISION : SHWB &,90.6
,SIKKIM,
,STATE : SIKKIM,129.6
1,EAST SIKKIM,120.2
2,NORTH SIKKIM,139.1
3,SOUTH SIKKIM,126.3
4,WEST SIKKIM,104.7
,STATE : WEST BENGAL,55.1
1,DAKSHIN DINAJPUR,35.7
2,DARJEELING,131
3,JALPAIGURI,100.7
4,KOCHBIHAR,71.9
5,MALDA,73
6,UTTAR_DINAJPUR,21.9
,SUBDIVISION : GANGETIC,47.6
,WEST BENGAL,
1,BANKURA,49.5
2,BARDAMAN,53.4
3,BIRBHUM,40.2
4,EASTMEDNIPUR,101.2
5,HAORA,24
6,HUGLI,57
7,KOLKATA,28.1
8,MURSIDABAD,25
9,NADIA,42.1
10,NORTH 24 PRAGANA,37.7
11,PASHCHIM MEDINIPUR,54.9
,,
,,
,India Meteorological Department,
,"Hydromet Division, New Delhi",
,,
,,Period:01-03-2024 To 05-04-2024
,MET.,
S,ACTUAL,ACTUAL
,SUBDIVISION/UT/STATE/DIS,
NO,(mm),(mm)
,TRICT,
12,PURULIYA,35.4
13,SOUTH 24 PARGANAS,42.4
,SUBDIVISION : ODISHA,51
1,ANUGUL,72
2,BALANGIR,53.3
3,BALESHWAR,104.7
4,BARAGARH,51.1
5,BAUDA,63.9
6,BHADRAK,66.4
7,CUTTACK,63.3
8,DEOGARH,42.9
9,DHENKANAL,81
10,GAJAPATHI,43.7
11,GANJAM,43.6
12,JAGATSINGHAPUR,26.3
13,JAJAPUR,86.6
14,JHARSUGUDA,61.5
15,KALAHANDI,35
16,KANDHAMAL,68.4
17,KENDRAPARHA,36.5
18,KENDUJHAR,57
19,KHORDHA,43.7
20,KORAPUT,8.3
21,MALKANGIRI,0.4
22,MAYURBHANJ,83.6
23,NABARANGAPUR,19
24,NAYAGARH,55.1
25,NUAPARHA,44.4
26,PURI,22.3
27,RAYAGARHA,33.1
28,SAMBALPUR,50.5
29,SUBARNAPUR,74.2
30,SUNDARGARH,60.7
,SUBDIVISION : JHARKHAND,35.3
1,BOKARO,45.5
2,CHATRA,15.7
3,DEOGHAR,15
4,DHANBAD,58.7
5,DUMKA,28.9
6,EAST SINGHBHUM,39.4
7,GARHWA,23.5
8,GIRIDIH,17.5
9,GODDA,10.7
10,GUMLA,44.5
11,HAZARIBAGH,28.4
,,
,,
,India Meteorological Department,
,"Hydromet Division, New Delhi",
,,
,,Period:01-03-2024 To 05-04-2024
,MET.,
S,ACTUAL,NORMAL
,SUBDIVISION/UT/STATE/DIS,
NO,(mm),(mm)
,TRICT,
12,JAMTARA,11.1
13,KHUNTI,40.9
14,KODERMA,33.2
15,LATEHAR,17.1
16,LOHARDAGA,35.7
17,PAKUR,14.8
18,PALAMU,11.7
19,RAMGARH,73.7
20,RANCHI,79.3
21,SAHEBGANJ,30.1
22,SARAIKELA,25
23,SIMDEGA,60
24,WEST SINGHBHUM,38.5
,SUBDIVISION : BIHAR,31.2
1,ARARIA,46.4
2,ARWAL,18.9
3,AURANGABAD,15.7
4,BANKA,36.2
5,BEGUSARAI,49.6
6,BHABUA,6
7,BHAGALPUR,25.7
8,BHOJPUR,19.5
9,BUXAR,14
10,DRABHANGA,40.2
11,GAYA,35.1
12,GOPALGANJ,24.6
13,JAHANABAD,64
14,JAMUI,18.4
15,KATIHAR,36.9
16,KHAGARIA,29.7
17,KISHANGANJ,26.2
18,LAKHISARAI,17.5
19,MADHEPURA,57.2
20,MADUBANI,29.4
21,MUNGER,46.7
22,MUZAFFARPUR,50.9
23,NALANDA,26.4
24,NAWADA,23.6
25,PACHIM CHAMPARAN,41.1
26,PATNA,17
27,PURBA CHAMPARAN,42.4
28,PURNIA,43.6
29,ROHTAS,13.3
30,SAHARSA,24.8
31,SAMASTIPUR,31.6
32,SARAN,30.7
,,
,,
,India Meteorological Department,
,"Hydromet Division, New Delhi",
,,
,,Period:01-03-2024 To 05-04-2024
,MET.,
S,ACTUAL,NORMAL
,SUBDIVISION/UT/STATE/DIS,
NO,(mm),(mm)
,TRICT,
33,SHEIKHPURA,15.6
34,SHEOHAR,28.6
35,SITAMARHI,32.7
36,SIWAN,24.4
37,SUPAUL,27.2
38,VAISHALI,56
,SUBDIVISION : EAST UTTAR,13.4
,PRADESH,
,STATE : UTTAR PRADESH,15.7
1,AMBEDKARNAGAR,1
2,AMETHI,17.1
3,AYODHYA,6.6
4,AZAMGARH,8.2
5,BAHRAICH,21.6
6,BALLIA,13.3
7,BALRAMPUR,9.2
8,BANDA,12.5
9,BARABANKI,34
10,BASTI,17.2
11,BHADOHI,
12,CHANDAULI,15
13,CHITRAKOOT,37.5
14,DEORIA,9.5
15,FARRUKHABAD,4
16,FATEHPUR,2
17,GAZIPUR,8.5
18,GONDA,16.5
19,GORAKHPUR,15.4
20,HARDOI,16.7
21,JAUNPUR,4.1
22,KANNAUJ,18
23,KANPUR,19.5
24,KANPUR DEHAT,8.5
25,KAUSHAMBI,7.4
26,KHERI,18.4
27,KUSHINAGAR,3.1
28,LUCKNOW,21.1
29,MAHARAJGANJ,7.8
30,MAU,11
31,MIRZAPUR,14.8
32,PRATAPGARH,12
33,PRAYAGRAJ,9.5
34,RAIBEARELI,3.9
35,SANTKABIRNAGAR,10
36,SHRAWASTI,31.1
37,SIDDHARTHNAGAR,9.1
,,
,,
,India Meteorological Department,
,"Hydromet Division, New Delhi",
,,
,,Period:01-03-2024 To 05-04-2024
,MET.,
S,ACTUAL,ACTUAL
,SUBDIVISION/UT/STATE/DIS,
NO,(mm),(mm)
,TRICT,
38,SITAPUR,10.8
39,SONBHADRA,16.3
40,SULTANPUR,15
41,UNNAO,11.7
42,VARANASI,13.1
,SUBDIVISION : WEST UTTAR,19
,PRADESH,
1,AGRA,4.6
2,ALIGARH,18.5
3,AMROHA,16.1
4,AURAIYA,5
5,BADAUN,26.5
6,BAGHPAT,21
7,BAREILLY,26.8
8,BIJNOR,61.2
9,BULANDSAHAR,12.9
10,ETAH,13
11,ETAWAH,18
12,FIROZABAD,5.9
13,GAUTAMBUDHNAGAR,0.5
14,GHAZIABAD,6.3
15,HAMIRPUR,23.8
16,HAPUR,7.8
17,HATHRAS,10.4
18,JALAUN,41.7
19,JHANSI,21.7
20,KASGANJ,15.3
21,LALITPUR,20
22,MAHOBA,18.8
23,MAINPURI,10
24,MATHURA,6
25,MEERUT,14.6
26,MORADABAD,20.6
27,MUZAFARNAGAR,17.2
28,PILHIBHIT,13.6
29,RAMPUR,13.1
30,SAMBHAL,19.4
31,SHAHJAHANPUR,14.9
32,SHAMLI,0
